customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Flag
7590-VHVEG,FEMALE,NO,YES,NO,1,NO,NO PHONE SERVICE,DSL,NO,YES,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,29.85,29.85,NO,0
5575-GNVDE,MALE,NO,NO,NO,34,YES,NO,DSL,YES,NO,YES,NO,NO,NO,ONE YEAR,NO,MAILED CHECK,56.95,1889.5,NO,0
3668-QPYBK,MALE,NO,NO,NO,2,YES,NO,DSL,YES,YES,NO,NO,NO,NO,MONTH-TO-MONTH,YES,MAILED CHECK,53.85,108.15,YES,1
7795-CFOCW,MALE,NO,NO,NO,45,NO,NO PHONE SERVICE,DSL,YES,NO,YES,YES,NO,NO,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),42.3,1840.75,NO,0
9237-HQITU,FEMALE,NO,NO,NO,2,YES,NO,FIBER OPTIC,NO,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,70.7,151.65,YES,1
9305-CDSKC,FEMALE,NO,NO,NO,8,YES,YES,FIBER OPTIC,NO,NO,YES,NO,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,99.65,820.5,YES,1
1452-KIOVK,MALE,NO,NO,YES,22,YES,YES,FIBER OPTIC,NO,YES,NO,NO,YES,NO,MONTH-TO-MONTH,YES,CREDIT CARD (AUTOMATIC),89.1,1949.4,NO,0
6713-OKOMC,FEMALE,NO,NO,NO,10,NO,NO PHONE SERVICE,DSL,YES,NO,NO,NO,NO,NO,MONTH-TO-MONTH,NO,MAILED CHECK,29.75,301.9,NO,0
7892-POOKP,FEMALE,NO,YES,NO,28,YES,YES,FIBER OPTIC,NO,NO,YES,YES,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,104.8,3046.05,YES,1
6388-TABGU,MALE,NO,NO,YES,62,YES,NO,DSL,YES,YES,NO,NO,NO,NO,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),56.15,3487.95,NO,0
9763-GRSKD,MALE,NO,YES,YES,13,YES,NO,DSL,YES,NO,NO,NO,NO,NO,MONTH-TO-MONTH,YES,MAILED CHECK,49.95,587.45,NO,0
7469-LKBCI,MALE,NO,NO,NO,16,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),18.95,326.8,NO,0
8091-TTVAX,MALE,NO,YES,NO,58,YES,YES,FIBER OPTIC,NO,NO,YES,NO,YES,YES,ONE YEAR,NO,CREDIT CARD (AUTOMATIC),100.35,5681.1,NO,0
0280-XJGEX,MALE,NO,NO,NO,49,YES,YES,FIBER OPTIC,NO,YES,YES,NO,YES,YES,MONTH-TO-MONTH,YES,BANK TRANSFER (AUTOMATIC),103.7,5036.3,YES,1
5129-JLPIS,MALE,NO,NO,NO,25,YES,NO,FIBER OPTIC,YES,NO,YES,YES,YES,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,105.5,2686.05,NO,0
3655-SNQYZ,FEMALE,NO,YES,YES,69,YES,YES,FIBER OPTIC,YES,YES,YES,YES,YES,YES,TWO YEAR,NO,CREDIT CARD (AUTOMATIC),113.25,7895.15,NO,0
8191-XWSZG,FEMALE,NO,NO,NO,52,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,ONE YEAR,NO,MAILED CHECK,20.65,1022.95,NO,0
9959-WOFKT,MALE,NO,NO,YES,71,YES,YES,FIBER OPTIC,YES,NO,YES,NO,YES,YES,TWO YEAR,NO,BANK TRANSFER (AUTOMATIC),106.7,7382.25,NO,0
4190-MFLUW,FEMALE,NO,YES,YES,10,YES,NO,DSL,NO,NO,YES,YES,NO,NO,MONTH-TO-MONTH,NO,CREDIT CARD (AUTOMATIC),55.2,528.35,YES,1
4183-MYFRB,FEMALE,NO,NO,NO,21,YES,NO,FIBER OPTIC,NO,YES,YES,NO,NO,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,90.05,1862.9,NO,0
8779-QRDMV,MALE,YES,NO,NO,1,NO,NO PHONE SERVICE,DSL,NO,NO,YES,NO,NO,YES,MONTH-TO-MONTH,YES,ELECTRONIC CHECK,39.65,39.65,YES,1
1680-VDCWW,MALE,NO,YES,NO,12,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,ONE YEAR,NO,BANK TRANSFER (AUTOMATIC),19.8,202.25,NO,0
1066-JKSGK,MALE,NO,NO,NO,1,YES,NO,NO,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,NO INTERNET SERVICE,MONTH-TO-MONTH,NO,MAILED CHECK,20.15,20.15,YES,1
3638-WEABW,FEMALE,NO,YES,NO,58,YES,YES,DSL,NO,YES,NO,YES,NO,NO,TWO YEAR,YES,CREDIT CARD (AUTOMATIC),59.9,3505.1,NO,0
6322-HRPFA,MALE,NO,YES,YES,49,YES,NO,DSL,YES,YES,NO,YES,NO,NO,MONTH-TO-MONTH,NO,CREDIT CARD (AUTOMATIC),59.6,2970.3,NO,0
